备用字段,节点,数量,行为,资源名称,资源品质,活动类型,活动上线日期,活动下线日期,限时资源上线日期,限时资源到期日期,资源类型,价值,资源截图,季度,年份1,月,价值高低,月份,文本 4,父记录
限时房卡,,1,登录1天,限时房卡（已删除）,橙品（S/SP）,活跃,2024/01/01,2024/01/15,2024/01/01,2024/01/01,限时,,image.png,2024年年1季度,2024年,2024年1月,,1,橙品（S/SP）限时房卡（已删除）,
限定抽奖券,,10,每日任务产出，奖励可全部兑换,（橙色）常驻3合1抽奖池--抽奖券,其他,活跃,2024/01/01,2024/01/15,,,限时,40,image.png,2024年年1季度,2024年,2024年1月,抽奖券类资源,1,其他（橙色）常驻3合1抽奖池--抽奖券,
橙品角色造型,,1,不放回抽奖,角色完整皮肤,橙品（S/SP）,付费,2024/01/01,2024/01/08,,,永久,2000,image.png,2024年年1季度,2024年,2024年1月,局内--高价值外显资源,1,橙品（S/SP）角色完整皮肤,
枪皮,,1,代币抽奖,枪械皮肤,橙品（S/SP）,付费,2024/01/01,2024/01/31,,,永久,2000,image.png,2024年年1季度,2024年,2024年1月,局内--高价值外显资源,1,橙品（S/SP）枪械皮肤,
紫品面饰,,1,累充140钻石,角色皮肤散件,紫品（A+）,付费,2024/01/01,2024/01/08,,,永久,400,image.png,2024年年1季度,2024年,2024年1月,局内--高价值外显资源,1,紫品（A+）角色皮肤散件,
金币抽奖盒,,2,每日任务产出，奖励可全部兑换,金币抽奖盒,其他,活跃,2024/01/01,2024/01/15,,,永久,0,image.png,2024年年1季度,2024年,2024年1月,,1,其他金币抽奖盒,
蓝品造型抽奖宝箱,,5,每日任务产出，奖励可全部兑换,皮肤抽奖宝箱,其他,活跃,2024/01/01,2024/01/15,,,永久,40,image.png,2024年年1季度,2024年,2024年1月,盲盒类资源,1,其他皮肤抽奖宝箱,
蓝品武器抽奖宝箱,,5,每日任务产出，奖励可全部兑换,武器抽奖宝箱,其他,活跃,2024/01/01,2024/01/15,,,永久,40,image.png,2024年年1季度,2024年,2024年1月,盲盒类资源,1,其他武器抽奖宝箱,
钻石,,20,累充24钻石,钻石,其他,付费,2024/01/01,2024/01/08,,,永久,1,image.png,2024年年1季度,2024年,2024年1月,,1,其他钻石,
限定抽奖券,2024 新年节点,5,造成15000伤害,（蓝色）常驻抽奖池2--抽奖券,其他,活跃,2024/01/05,2024/01/12,,,限时,40,image.png,2024年年1季度,2024年,2024年1月,抽奖券类资源,1,其他（蓝色）常驻抽奖池2--抽奖券,
橙品近战武器造型,2024 新年节点,1,代币抽奖,近战武器皮肤,橙品（S/SP）,付费,2024/01/05,2024/01/20,,,永久,500,image.png,2024年年1季度,2024年,2024年1月,局内--高价值外显资源,1,橙品（S/SP）近战武器皮肤,
蓝品武器抽奖宝箱,2024 新年节点,1,造成1000伤害,武器抽奖宝箱,其他,活跃,2024/01/05,2024/01/12,,,永久,40,image.png,2024年年1季度,2024年,2024年1月,盲盒类资源,1,其他武器抽奖宝箱,
